playerID,BA,POS
abadfe01,0.143,P
abreubo01,0.246,OF
abreubo01,0.208,OF
abreuto01,0.257,IN
ackledu01,0.226,IN
adamsma01,0.244,IN
adcocna01,0,P
affelje01,0,P
allenbr01,0.154,IN
allenbr01,0,IN
alonsyo01,0.273,IN
altuvjo01,0.29,IN
alvarhe01,0,P
alvarpe01,0.244,IN
amarial01,0.24,IN
anderbr05,0.25,IN
anderla03,0.125,IN
andinro01,0.211,IN
andruel01,0.286,IN
ankieri01,0.228,OF
aokino01,0.288,OF
archech01,0,P
arencjp01,0.233,C
ariasjo01,0.27,IN
arrieja01,0,P
arroybr01,0.143,P
averyxa01,0.223,OF
avilaal01,0.243,C
avilalu01,0.333,P
avilemi01,0.25,IN
axforjo01,0,P
aybarer01,0.29,IN
badenbu01,0,P
baileho02,0.114,P
bakerje03,0.105,IN
bakerje03,0.269,IN
bakerje03,0.2,IN
bakerjo01,0.238,C
balfogr01,0,P
barajro01,0.206,IN
bardda01,0,P
barmecl01,0.229,IN
barnebr02,0.204,OF
barneda01,0.254,IN
bartlja01,0.133,IN
bartoda02,0.204,IN
bassan01,0.129,P
batismi01,0,P
bauertr01,0,P
bautijo02,0.241,IN
baxtemi01,0.263,OF
bayja01,0.165,OF
beachbr01,0.185,P
beavabl01,0,P
beckejo02,0,P
beckejo02,0.2,P
beckhgo01,0.234,IN
bedarer01,0.108,P
belisma01,0,P
belljo01,0.173,IN
belowdu01,0,P
beltbr01,0.275,IN
beltrad01,0.321,IN
beltrca01,0.269,OF
bergebr02,0,P
berkeja01,0,P
berkmla01,0.259,IN
bernaro01,0.291,OF
berryqu01,0.258,OF
betanyu01,0.228,IN
betemwi01,0.261,IN
biancje01,0.188,IN
billich01,0.19,P
bixlebr01,0.193,IN
blackch02,0.283,OF
blackni01,0,P
blacktr01,0,P
blancgr01,0.244,OF
blanche01,0.188,C
blankky01,0.2,IN
blantjo01,0.077,P
blantjo01,0.062,P
bloomwi01,0.302,IN
blumge01,0.143,IN
boescbr01,0.24,OF
bogusbr01,0.203,OF
bonifem01,0.258,IN
boscajc01,0.2,C
bourgja01,0.258,OF
bourjpe01,0.22,OF
bournmi01,0.274,OF
bowdemi01,0,P
boxbebr01,0,P
brantmi02,0.288,OF
brantro01,0.29,C
braunry02,0.319,OF
breslcr01,0,P
brignre01,0.095,IN
brothre01,0,P
brownan02,0.232,OF
brownba01,0,P
brownco01,0.2,OF
browndo01,0.235,OF
bruceja01,0.252,OF
buchhcl01,0,P
buckjo01,0.192,C
bucktr01,0.216,OF
buehrma01,0.045,P
bumgama01,0.162,P
burneaj01,0.063,P
burnsco01,0,P
burriem01,0.213,IN
burrose01,0.118,IN
buterdr01,0.198,C
butlebi03,0.313,IN
byrdma01,0.27,OF
byrdma01,0.07,OF
cabreas01,0.27,IN
cabreed01,0,P
cabreev01,0.246,IN
cabreme01,0.346,OF
cabremi01,0.33,IN
cahiltr01,0.119,P
cainlo01,0.266,OF
cainma01,0.176,P
cairomi01,0.187,IN
calhoko01,0.174,OF
callaal01,0.252,IN
campato01,0.264,OF
canoro01,0.313,IN
canzlru01,0.269,IN
capuach01,0.093,P
cardead01,0.183,IN
carlilu01,0.214,C
carpech01,0.167,P
carpeda01,0.5,P
carpema01,0.294,IN
carpmi01,0.213,IN
carreez01,0.272,OF
carrejo01,0,P
carrobr01,0,OF
carroja01,0.268,IN
carsoma01,0.227,OF
cartech02,0.239,IN
cashnan01,0.143,P
casilal01,0.241,IN
casteal01,0.174,OF
castiwe01,0.265,IN
castrja01,0.257,C
castrst01,0.283,IN
cecilbr01,0,P
cedenro02,0.259,IN
cedenxa01,0,P
cervefr01,0,C
cespeyo01,0.292,OF
chacijh01,0.292,P
chambad01,0.222,OF
chatwty01,0.25,P
chaveen01,0.203,OF
chaveer01,0.281,IN
chaveje01,0,P
chenbr01,0.2,P
chenwe02,0,P
chiselo01,0.268,IN
choosh01,0.283,OF
chrisju01,0.125,OF
cingrto01,0,P
ciriape01,0.293,IN
cishest01,0,P
clemeje01,0.136,IN
cletoma01,0,P
clevest01,0.201,IN
cloydty01,0.091,P
coghlch01,0.14,OF
colemca01,0.333,P
colliti01,0,P
collmjo01,0.062,P
colonba01,0,P
colonro01,0,P
colvity01,0.29,IN
congeha01,0.167,C
conrabr01,0.172,IN
conrabr01,0.075,IN
constjo01,0.25,OF
coopeda01,0.3,IN
corbipa01,0.111,P
corpama01,0,P
corpoca01,0.269,C
correke01,0.106,P
costami01,0.056,IN
cousisc01,0.163,OF
cowgico01,0.269,OF
cozarza01,0.246,IN
craigal01,0.307,IN
crawfbr01,0.248,IN
crawfca02,0.282,OF
crispco01,0.259,OF
cruzlu01,0.297,IN
cruzne02,0.26,OF
cruzrh01,0,P
cruzto03,0.254,IN
cuddymi01,0.26,IN
cuetojo01,0.09,P
culbech01,0.136,IN
cunniaa01,0.175,OF
damonjo01,0.222,OF
danksjo01,0,P
danksjo02,0.224,OF
darnach01,0,IN
darneja01,0.235,IN
darviyu01,0.333,P
davisch02,0.27,IN
davisik02,0.227,IN
davisra01,0.257,OF
daviswa01,0.5,P
deazaal01,0.281,OF
dejesda01,0.263,OF
